Subject,Room,Kit_n,date,time,in_sum,out_sum,inout_sub,accum,occupany_sum
24_036,2411,2,2022-05-23,17:12:00,11,8,3,1,2
24_036,2411,2,2022-05-24,11:12:00,11,10,1,2,4
24_036,2411,2,2022-05-26,10:17:00,14,17,-3,-8,3
24_036,2411,2,2022-06-09,10:17:00,12,9,3,-1,3
24_036,2411,2,2022-06-10,14:12:00,10,8,2,-7,4
24_041,2402,6,2022-06-16,15:20:00,10,7,3,6,5
24_041,2402,6,2022-06-20,10:20:00,10,5,5,31,8
24_041,2402,6,2022-06-20,13:55:00,10,10,0,27,6
24_041,2402,6,2022-06-22,14:10:00,18,20,-2,28,6
24_041,2402,6,2022-06-22,14:15:00,11,8,3,31,2
24_041,2402,6,2022-06-30,10:20:00,12,10,2,23,3
24_041,2402,6,2022-07-01,13:30:00,10,7,3,17,4
24_043,2408,2,2022-06-24,08:13:00,10,3,7,8,3
24_045,2436,5,2022-06-30,20:36:00,16,9,7,5,2
